head,rel,tail,score,in,head_ent,rel_ent,tail_ent,uid,head_id,tail_id
17255,3,41349,65.04817199707031,True,Ibrutinib:drug,indication,mantle cell lymphoma:disease,D020522:35266562:Cu8MnwzUWKwEhhBCNKVJMd,kg4rd:DB09053,kg4rd:18876
18569,3,41349,64.90341186523438,False,Selinexor:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11942,kg4rd:18876
18497,3,41349,64.8498306274414,False,Brentuximab vedotin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08870,kg4rd:18876
17058,3,41349,64.5090103149414,False,Temozolomide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00853,kg4rd:18876
21926,3,41349,64.45551300048828,False,Dactinomycin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00970,kg4rd:18876
18442,3,41349,64.42031860351562,False,Ixabepilone:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB04845,kg4rd:18876
17926,3,41349,64.28961944580078,False,Ponatinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08901,kg4rd:18876
17136,3,41349,64.15696716308594,False,Arsenic trioxide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01169,kg4rd:18876
17752,3,41349,64.09017944335938,False,Mechlorethamine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00888,kg4rd:18876
17630,3,41349,63.88446807861328,False,Daunorubicin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00694,kg4rd:18876
18316,3,41349,63.75004577636719,False,Umbralisib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14989,kg4rd:18876
18654,3,41349,63.71435546875,True,Zanubrutinib:drug,indication,mantle cell lymphoma:disease,D020522:35303070:NSXJuyGWp6G4f67zPAt2q7,kg4rd:DB15035,kg4rd:18876
23432,3,41349,63.623779296875,False,Imetelstat:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14909,kg4rd:18876
17318,3,41349,63.576171875,False,Abemaciclib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12001,kg4rd:18876
17458,3,41349,63.52803039550781,False,Nelarabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01280,kg4rd:18876
