head,rel,tail,score,in,head_ent,rel_ent,tail_ent,uid,head_id,tail_id
17691,3,41349,-13.736968040466309,False,Paclitaxel:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01229,kg4rd:18876
17089,3,41349,-13.758102416992188,False,Hydroxyurea:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01005,kg4rd:18876
18273,3,41349,-13.76257038116455,False,Pomalidomide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08910,kg4rd:18876
18570,3,41349,-13.765249252319336,True,Duvelisib:drug,indication,mantle cell lymphoma:disease,D020522:36882482:a8kufG5n6qV7g97vuhRYYb,kg4rd:DB11952,kg4rd:18876
17910,3,41349,-13.789310455322266,True,Temsirolimus:drug,indication,mantle cell lymphoma:disease,D020522:37782774:Nx73qDY4EfaHY3VqHD6AAp,kg4rd:DB06287,kg4rd:18876
23287,3,41349,-13.790452003479004,False,Carfilzomib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08889,kg4rd:18876
17163,3,41349,-13.809576034545898,False,Colchicine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01394,kg4rd:18876
17299,3,41349,-13.809722900390625,True,Acalabrutinib:drug,indication,mantle cell lymphoma:disease,D020522:35266562:ToNgKpVRuMtuRTPNSqvzCw,kg4rd:DB11703,kg4rd:18876
19985,3,41349,-13.810100555419922,True,Lenalidomide:drug,indication,mantle cell lymphoma:disease,D020522:38906740:jD9rZgcU3H6YkM9AmXDoYA,kg4rd:DB00480,kg4rd:18876
17458,3,41349,-13.811223983764648,False,Nelarabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01280,kg4rd:18876
17752,3,41349,-13.837959289550781,False,Mechlorethamine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00888,kg4rd:18876
18572,3,41349,-13.842561721801758,False,Entrectinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11986,kg4rd:18876
17679,3,41349,-13.85058879852295,True,Cytarabine:drug,indication,mantle cell lymphoma:disease,D020522:37357622:mjaZpXt3QntSF8faK6nCBF,kg4rd:DB00987,kg4rd:18876
17483,3,41349,-13.852775573730469,False,Ozanimod:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12612,kg4rd:18876
18442,3,41349,-13.865727424621582,False,Ixabepilone:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB04845,kg4rd:18876
18327,3,41349,-13.866781234741211,False,Azacitidine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00928,kg4rd:18876
17202,3,41349,-13.874746322631836,False,Vandetanib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05294,kg4rd:18876
17318,3,41349,-13.881500244140625,False,Abemaciclib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12001,kg4rd:18876
17015,3,41349,-13.885978698730469,False,Tamoxifen:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00675,kg4rd:18876
18255,3,41349,-13.902871131896973,False,Apremilast:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05676,kg4rd:18876
18203,3,41349,-13.91147232055664,False,Streptozocin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00428,kg4rd:18876
17172,3,41349,-13.911687850952148,False,Hydroxychloroquine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01611,kg4rd:18876
17850,3,41349,-13.914802551269531,False,Chloramphenicol:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00446,kg4rd:18876
17315,3,41349,-13.925667762756348,False,Dacomitinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11963,kg4rd:18876
19248,3,41349,-13.92772388458252,True,Obinutuzumab:drug,indication,mantle cell lymphoma:disease,D020522:38669626:MuA8qVqnESVsFW6rxGEqD4,kg4rd:DB08935,kg4rd:18876
22898,3,41349,-13.937623023986816,False,Vorinostat:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB02546,kg4rd:18876
18654,3,41349,-13.948060989379883,True,Zanubrutinib:drug,indication,mantle cell lymphoma:disease,D020522:35303070:NSXJuyGWp6G4f67zPAt2q7,kg4rd:DB15035,kg4rd:18876
17062,3,41349,-13.956619262695312,False,Sirolimus:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00877,kg4rd:18876
18716,3,41349,-13.964911460876465,False,Clofarabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00631,kg4rd:18876
18282,3,41349,-13.965664863586426,False,Osimertinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09330,kg4rd:18876
17241,3,41349,-13.96650505065918,False,Crizotinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08865,kg4rd:18876
16797,3,41349,-13.969999313354492,False,Betamethasone:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00443,kg4rd:18876
17259,3,41349,-13.972527503967285,False,Olaparib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09074,kg4rd:18876
17246,3,41349,-13.975020408630371,False,Tofacitinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08895,kg4rd:18876
22974,3,41349,-13.975787162780762,True,Talazoparib:drug,indication,mantle cell lymphoma:disease,D020522:40009753:QPLRicbqHMXhZenUwHG475,kg4rd:DB11760,kg4rd:18876
17385,3,41349,-13.979000091552734,False,Pegaspargase:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00059,kg4rd:18876
18603,3,41349,-13.982879638671875,False,Tazemetostat:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB12887,kg4rd:18876
17011,3,41349,-13.98713493347168,False,Pemetrexed:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00642,kg4rd:18876
17633,3,41349,-13.988758087158203,False,Busulfan:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01008,kg4rd:18876
17836,3,41349,-13.991752624511719,False,Cyclosporine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00091,kg4rd:18876
19003,3,41349,-13.991755485534668,False,Eribulin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08871,kg4rd:18876
18105,3,41349,-13.995611190795898,False,Pazopanib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06589,kg4rd:18876
16992,3,41349,-13.999356269836426,False,Methotrexate:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00563,kg4rd:18876
18166,3,41349,-14.001893043518066,False,Upadacitinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB15091,kg4rd:18876
23502,3,41349,-14.002306938171387,False,Satralizumab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB15762,kg4rd:18876
17136,3,41349,-14.005242347717285,False,Arsenic trioxide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01169,kg4rd:18876
17122,3,41349,-14.00860595703125,False,Nifedipine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01115,kg4rd:18876
17692,3,41349,-14.015356063842773,False,Docetaxel:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01248,kg4rd:18876
25345,3,41349,-14.015810012817383,False,Influenza A virus A/California/7/2009 X-181 (H1N1) hemagglutinin antigen (propiolactone inactivated):drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11041,kg4rd:18876
17846,3,41349,-14.021122932434082,False,Sorafenib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00398,kg4rd:18876
17060,3,41349,-14.022254943847656,False,Tacrolimus:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00864,kg4rd:18876
21052,3,41349,-14.022798538208008,False,Gemtuzumab ozogamicin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00056,kg4rd:18876
17310,3,41349,-14.023602485656738,False,Neratinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11828,kg4rd:18876
16806,3,41349,-14.029754638671875,False,Hydrocortisone:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00741,kg4rd:18876
17642,3,41349,-14.032400131225586,False,Trastuzumab deruxtecan:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB14962,kg4rd:18876
18476,3,41349,-14.041892051696777,False,Bosutinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06616,kg4rd:18876
23073,3,41349,-14.042724609375,False,Danicopan:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB15401,kg4rd:18876
18566,3,41349,-14.049840927124023,False,Baricitinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB11817,kg4rd:18876
18128,3,41349,-14.056560516357422,False,Lenvatinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09078,kg4rd:18876
16802,3,41349,-14.060125350952148,True,Prednisone:drug,indication,mantle cell lymphoma:disease,D020522:35763708:Q3NvMrLFPuoo6mRSYQRH7b,kg4rd:DB00635,kg4rd:18876
23776,3,41349,-14.068718910217285,False,Blinatumomab:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09052,kg4rd:18876
18244,3,41349,-14.072615623474121,False,Roflumilast:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01656,kg4rd:18876
18501,3,41349,-14.07536506652832,False,Regorafenib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08896,kg4rd:18876
23241,3,41349,-14.084444999694824,False,Pentostatin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00552,kg4rd:18876
